날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2021-10-04","","","","","주스,카프리썬오렌지망고","","","","2620.44kcal"
"2021-10-05","밥1","363kcal","밥1","363kcal","고기덮밥(01)(05)(06)(10)","736.73kcal","","","3088.31kcal"
"2021-10-05","비엔나소시지찌개(05)(06)(10)","195.91kcal","생선묵국(05)(06)","80.27kcal","돼지고기김치찌개(05)(06)(10)","121.38kcal","","","3088.31kcal"
"2021-10-05","닭순살감자조림(05)(06)(15)","184.6kcal","떡볶이(05)(06)","251.89kcal","야채샐러드(01)(12)","83.43kcal","","","3088.31kcal"
"2021-10-05","오징어젓무침(17)","50.5kcal","야채튀김(05)(06)(12)","392.47kcal","배추김치(10~11월)","28.11kcal","","","3088.31kcal"
"2021-10-05","배추김치(10~11월)","28.11kcal","배추김치(10~11월)","28.11kcal","","","","","3088.31kcal"
"2021-10-05","우유(백색우유(200ML,연간))(02)","122kcal","이온음료","58.8kcal","","","","","3088.31kcal"
"2021-10-06","햄치즈버거(01)(02)(06)(10)(12)","635.54kcal","밥1","363kcal","검은콩밥","371.26kcal","","","3136.75kcal"
"2021-10-06","삶은계란(01)","70.28kcal","감자계란국(01)(05)","62.78kcal","아욱된장국(05)(06)","48.25kcal","","","3136.75kcal"
"2021-10-06","콘푸로스트","0kcal","돼지고기콩나물볶음(05)(06)(10)","386.14kcal","오삼불고기(05)(06)(10)(17)","330.42kcal","","","3136.75kcal"
"2021-10-06","우유(백색우유(200ML,연간))(02)","122kcal","고구마튀김(05)(06)","450.73kcal","상추쌈(05)(06)","64.13kcal","","","3136.75kcal"
"2021-10-06","사인머스켓","54kcal","맛김","0kcal","배추김치(10~11월)","28.11kcal","","","3136.75kcal"
"2021-10-06","","","배추김치(10~11월)","28.11kcal","","","","","3136.75kcal"
"2021-10-06","","","우유(백색우유(200ML,연간))(02)","122kcal","","","","","3136.75kcal"
"2021-10-07","김치덮밥(10)","511.95kcal","영양밥","384.26kcal","밥1","363kcal","","","2853.21kcal"
"2021-10-07","두부맑은국(05)(16)","58.18kcal","닭매운탕(05)(06)(15)","183.2kcal","짬뽕찌개(05)(06)(17)(18)","123.43kcal","","","2853.21kcal"
"2021-10-07","토마토스크램블에그(01)(12)","114.75kcal","가지굴소스쇠고기볶음(05)(06)(16)","112.05kcal","돼지고기된장불고기(05)(06)(10)","391.39kcal","","","2853.21kcal"
"2021-10-07","깍두기(임가공)","28.65kcal","감자맛탕(05)(06)","328.24kcal","양배추쌈(05)(06)","43.86kcal","","","2853.21kcal"
"2021-10-07","사과(홍로)","31.488kcal","맛김","0kcal","배추김치(10~11월)","28.11kcal","","","2853.21kcal"
"2021-10-07","우유(백색우유(200ML,연간))(02)","122kcal","깍두기(임가공)","28.65kcal","","","","","2853.21kcal"
"2021-10-08","밥1","363kcal","밥1","363kcal","매콤닭순살덮밥(01)(05)(06)(15)","614.4kcal","","","2703.11kcal"
"2021-10-08","계란국(01)(05)(06)","72.89kcal","미역국(05)","14.83kcal","버섯육개장(01)(05)(06)(16)","118.44kcal","","","2703.11kcal"
"2021-10-08","돼지목심폭찹(05)(06)(10)(12)","267.46kcal","돼지불고기(05)(06)(10)","374.71kcal","시금치된장무침(05)(06)","65.97kcal","","","2703.11kcal"
"2021-10-08","오이무침(06)","39.54kcal","맛김","0kcal","배추김치(10~11월)","28.11kcal","","","2703.11kcal"
"2021-10-08","배추김치(10~11월)","28.11kcal","연근조림(05)(06)","64.03kcal","","","","","2703.11kcal"
"2021-10-08","메론(봄, 가을)","54kcal","배추김치(10~11월)","28.11kcal","","","","","2703.11kcal"
"2021-10-08","우유(백색우유(200ML,연간))(02)","122kcal","포도 주스(180㎖/캔)","84.51kcal","","","","","2703.11kcal"
"2021-10-09","불고기버거(01)(02)(06)(10)(12)","709.49kcal","","","영양밥","384.26kcal","","","2092.79kcal"
"2021-10-09","로제떡볶이(05)(06)(10)(12)","320.11kcal","","","닭매운탕(05)(06)(15)","183.2kcal","","","2092.79kcal"
"2021-10-09","콘푸로스트","0kcal","","","칠리새우볶음(05)(06)(09)(12)","144.95kcal","","","2092.79kcal"
"2021-10-09","커피음료","","","","돼지고기감자조림(05)(06)(10)","207.54kcal","","","2092.79kcal"
"2021-10-09","우유(백색우유(200ML,연간))(02)","122kcal","","","파김치","21.24kcal","","","2092.79kcal"
"2021-10-09","","","","","매일두유 뼈로가는고칼슘 담백한맛190ml","","","","2092.79kcal"
"2021-10-09","","","","","쌀국수,멸치맛(한스코리아)","","","","2092.79kcal"
"2021-10-10","떡만둣국(01)(05)(06)(10)(16)","413.3kcal","밥1","363kcal","밥1","363kcal","","","2624.52kcal"
"2021-10-10","생선묵볶음(05)(06)","157.24kcal","돼지고기김치찌개(05)(06)(10)","121.38kcal","주꾸미삼겹살볶음(05)(06)(10)","353.12kcal","","","2624.52kcal"
"2021-10-10","오징어젓무침(17)","50.5kcal","오리불고기(05)(06)","278kcal","고추잡채(05)(06)(10)","209.26kcal","","","2624.52kcal"
"2021-10-10","배추김치(10~11월)","28.11kcal","양배추쌈(05)(06)","43.86kcal","파겉절이(05)(06)","34.04kcal","","","2624.52kcal"
"2021-10-10","사과(홍로)","31.488kcal","배추김치(10~11월)","28.11kcal","배추김치(10~11월)","28.11kcal","","","2624.52kcal"
"2021-10-10","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2624.52kcal"
"2021-10-11","김치덮밥(10)","511.95kcal","버섯덮밥(05)(06)(16)","490.05kcal","영양밥","384.26kcal","","","2530.86kcal"
"2021-10-11","쇠고기미역국(05)(16)","22.5kcal","감자양파찌개(05)(06)","62.05kcal","닭고기육개장(01)(05)(06)(15)","204.93kcal","","","2530.86kcal"
"2021-10-11","맛김","0kcal","계란찜(01)(09)","78.59kcal","오징어볶음(05)(06)(17)","160.02kcal","","","2530.86kcal"
"2021-10-11","두부조림(05)(06)","88.16kcal","배추김치(10~11월)","28.11kcal","감자샐러드(01)","135.48kcal","","","2530.86kcal"
"2021-10-11","깍두기(임가공)","28.65kcal","","","배추김치(10~11월)","28.11kcal","","","2530.86kcal"
"2021-10-11","우유(백색우유(200ML,연간))(02)","122kcal","","","과일푸딩","126kcal","","","2530.86kcal"
"2021-10-11","","","","","주스,카프리썬 사과(200ml,파우치)","60kcal","","","2530.86kcal"
"2021-10-12","밥1","363kcal","영양밥","384.26kcal","밥1","363kcal","","","3701.02kcal"
