날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2021-10-03","감자조림(05)(06)","87.52kcal","배추김치(10~11월)","27.49kcal","오이된장무침(05)","41.33kcal","","","2827.09kcal"
"2021-10-03","배추김치(10~11월)","27.49kcal","아이스크림 콘,완제품(02)","270kcal","배추김치(10~11월)","27.49kcal","","","2827.09kcal"
"2021-10-03","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2827.09kcal"
"2021-10-04","밥","363kcal","햄야채덮밥(05)(06)(10)(12)","652.3kcal","현미밥","377.52kcal","","","2652.27kcal"
"2021-10-04","쇠고기미역국(05)(16)","30.7kcal","생선묵국(05)(06)","77.51kcal","두부고추장찌개(05)(06)(10)","170.97kcal","","","2652.27kcal"
"2021-10-04","햄감자채볶음(10)","111.54kcal","브로콜리돼지고기볶음(05)(06)(10)","333.76kcal","오징어볶음(05)(06)(17)","221.95kcal","","","2652.27kcal"
"2021-10-04","풋고추된장무침(05)","44.87kcal","맛김","0kcal","콩나물냉채(01)(05)","63.68kcal","","","2652.27kcal"
"2021-10-04","배추김치(10~11월)","27.49kcal","배추김치(10~11월)","27.49kcal","배추김치(10~11월)","27.49kcal","","","2652.27kcal"
"2021-10-04","우유(백색우유(200ML,연간))(02)","122kcal","","","썬업 파인애플200ml","","","","2652.27kcal"
"2021-10-05","밥","363kcal","잡곡밥","394.2kcal","밥","363kcal","","","3269.65kcal"
"2021-10-05","쇠고기무국(05)(16)","34.55kcal","부대찌개(05)(06)(10)","179.57kcal","삼계탕(15)","810.94kcal","","","3269.65kcal"
"2021-10-05","애호박나물(05)(09)(10)","122.97kcal","참돔탕수(06)(12)","378.5kcal","배추겉절이(09)","21.44kcal","","","3269.65kcal"
"2021-10-05","돼지고기김치볶음(06)(10)","118.95kcal","오이부추무침","12.09kcal","모듬야채(쌈장)(05)(06)","35.89kcal","","","3269.65kcal"
"2021-10-05","깍두기(임가공)(09)","28.75kcal","배추김치(10~11월)","27.49kcal","깍두기(임가공)(09)","28.75kcal","","","3269.65kcal"
"2021-10-05","우유(백색우유(200ML,연간))(02)","122kcal","사과(후지)","51.156kcal","워터젤리","176.4kcal","","","3269.65kcal"
"2021-10-06","밥","363kcal","찹쌀밥","380.95kcal","찰보리밥","378.8kcal","","","2939.80kcal"
"2021-10-06","북어채국(01)(05)","45.9kcal","짬뽕찌개(05)(06)(09)(10)(17)","126.98kcal","감자계란국(01)(05)","69.51kcal","","","2939.80kcal"
"2021-10-06","두부김치(05)(10)","243.12kcal","탕수육(완제품용)(05)(06)(10)(12)","453.63kcal","오삼불고기(05)(06)(10)(17)","515.14kcal","","","2939.80kcal"
"2021-10-06","감자매운조림(05)(06)","55.91kcal","부추겉절이(05)(06)","30.35kcal","모듬쌈(05)(06)","70.78kcal","","","2939.80kcal"
"2021-10-06","깍두기(임가공)(09)","28.75kcal","배추김치(10~11월)","27.49kcal","배추김치(10~11월)","27.49kcal","","","2939.80kcal"
"2021-10-06","우유(백색우유(200ML,연간))(02)","122kcal","배주스(240ml,캔)","","","","","","2939.80kcal"
"2021-10-07","밥","363kcal","치킨마요덮밥(01)(05)(06)(15)","957.42kcal","밥","363kcal","","","2661.35kcal"
"2021-10-07","쇠고기감자국(05)(16)","43.08kcal","맛김","0kcal","콩나물국(05)","21.09kcal","","","2661.35kcal"
"2021-10-07","멸치볶음(05)(06)","88.11kcal","오이무침(06)","30.54kcal","오리간장주물럭(05)(06)","235.01kcal","","","2661.35kcal"
"2021-10-07","순두부양념장(05)(06)","65.36kcal","고구마샐러드(01)","182.9kcal","양파간장절임(05)(06)","41.07kcal","","","2661.35kcal"
"2021-10-07","배추김치(10~11월)","27.49kcal","배추김치(10~11월)","27.49kcal","배추김치(10~11월)","27.49kcal","","","2661.35kcal"
"2021-10-07","우유(백색우유(200ML,연간))(02)","122kcal","홍시","66.3kcal","","","","","2661.35kcal"
"2021-10-08","밥","363kcal","잡채밥(05)(06)(16)","575.52kcal","마파두부덮밥(05)(06)","777.47kcal","","","3099.00kcal"
"2021-10-08","미역국(05)","7.57kcal","오징어배추해장국(05)(06)(17)","59.03kcal","팝콘치킨강정(01)(06)","548.41kcal","","","3099.00kcal"
"2021-10-08","생선묵고추장볶음(05)(06)","152.55kcal","떡볶이(05)(06)","266.93kcal","오징어젓무침(17)","53.47kcal","","","3099.00kcal"
"2021-10-08","계란찜(01)(09)","89.32kcal","깍두기(임가공)(09)","28.75kcal","배추김치(10~11월)","27.49kcal","","","3099.00kcal"
"2021-10-08","배추김치(10~11월)","27.49kcal","과수원 오렌지","","","","","","3099.00kcal"
"2021-10-08","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3099.00kcal"
"2021-10-09","핫도그빵(01)(06)(10)(12)","768.12kcal","밥","363kcal","돼지고기부추덮밥(05)(06)(10)","829.01kcal","","","2913.00kcal"
