날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2021-09-24","아이스크림, 떠먹는형","270kcal","","","","","","","3408.98kcal"
"2021-09-24","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3408.98kcal"
"2021-09-24","가공우유(딸기)(02)","116kcal","","","","","","","3408.98kcal"
"2021-09-25","밥","363kcal","불고기버거(01)(06)(10)(12)","641.95kcal","밥","363kcal","","","2333.44kcal"
"2021-09-25","콩나물무채국(05)","34.44kcal","삶은계란(01)","70.08kcal","순두부백탕(05)(17)","72.91kcal","","","2333.44kcal"
"2021-09-25","소시지야채볶음(05)(06)(10)","227.15kcal","시리얼","0kcal","브로콜리/초고추장(06)","38.31kcal","","","2333.44kcal"
"2021-09-25","생선묵볶음(05)(06)","115.78kcal","","","황태채무침","120.27kcal","","","2333.44kcal"
"2021-09-25","배추김치(7~9월)","11.75kcal","","","열무김치","12.8kcal","","","2333.44kcal"
"2021-09-25","","","","","우유(백색우유(200ML,연간))(02)","122kcal","","","2333.44kcal"
"2021-09-25","","","","","두유, 고칼슘(05)","140kcal","","","2333.44kcal"
"2021-09-26","밥","363kcal","쇠고기떡국(01)(16)","309.96kcal","쇠고기덮밥(05)(06)(16)","620.19kcal","","","2337.42kcal"
"2021-09-26","감자호박국(05)","36.45kcal","오징어채볶음(01)(05)(06)(17)","112.06kcal","멸치볶음","92.05kcal","","","2337.42kcal"
"2021-09-26","닭고기양배추볶음(05)(06)(15)","152.43kcal","오이스틱(05)(06)","28.8kcal","고구마구이","439.52kcal","","","2337.42kcal"
"2021-09-26","양파겉절이(05)(06)","22.26kcal","깍두기(완제품)(09)","15.2kcal","배추김치(7~9월)","11.75kcal","","","2337.42kcal"
"2021-09-26","배추김치(7~9월)","11.75kcal","","","","","","","2337.42kcal"
"2021-09-26","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2337.42kcal"
"2021-09-27","밥","363kcal","밥","363kcal","수수밥","364.15kcal","","","2870.37kcal"
"2021-09-27","콩나물무채국(05)","34.44kcal","건새우아욱된장국(05)","35.27kcal","햄감자찌개(05)(06)(10)","204.82kcal","","","2870.37kcal"
"2021-09-27","마파감자(05)(06)(10)","175.61kcal","달콤돼지고기볶음(05)(06)(10)","307.99kcal","생선가스(01)(06)","633.19kcal","","","2870.37kcal"
"2021-09-27","오이무침(06)","36.91kcal","새송이버섯야채볶음(05)(06)","65.21kcal","양배추샐러드(01)(12)","43.98kcal","","","2870.37kcal"
"2021-09-27","배추김치(7~9월)","11.75kcal","열무김치","12.8kcal","배추김치(7~9월)","11.75kcal","","","2870.37kcal"
"2021-09-27","","","","","유산균 발효유(3사교)","84.5kcal","","","2870.37kcal"
"2021-09-27","","","","","우유(백색우유(200ML,연간))(02)","122kcal","","","2870.37kcal"
"2021-09-28","밥","363kcal","찹쌀밥","407.88kcal","밥","363kcal","","","2624.13kcal"
"2021-09-28","쇠고기미역국(05)(16)","35.96kcal","사골곰탕(05)","222.25kcal","대구맑은탕(05)(06)","123.1kcal","","","2624.13kcal"
"2021-09-28","닭순살야채조림(05)(06)(15)","126.35kcal","오징어젓무침(17)","45.9kcal","애호박나물(09)","38.71kcal","","","2624.13kcal"
"2021-09-28","부추겉절이","26.08kcal","오이스틱(05)(06)","28.8kcal","돼지갈비찜(05)(06)(10)","373.4kcal","","","2624.13kcal"
"2021-09-28","배추김치(7~9월)","11.75kcal","깍두기(완제품)(09)","15.2kcal","배추김치(7~9월)","11.75kcal","","","2624.13kcal"
"2021-09-28","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2624.13kcal"
"2021-09-28","건빵(참깨맛)","249kcal","","","","","","","2624.13kcal"
"2021-09-28","주스,카프리썬 오렌지(200ml,파우치)","60kcal","","","","","","","2624.13kcal"
"2021-09-29","밥","363kcal","잡곡밥","408.15kcal","밥","363kcal","","","2311.42kcal"
"2021-09-29","오징어국(05)(17)","46.45kcal","쇠고기육개장(01)(05)(06)(16)","108.65kcal","순두부찌개(01)(05)(17)(18)","112.21kcal","","","2311.42kcal"
"2021-09-29","호박볶음(05)(06)(09)","55.33kcal","무조림(05)(06)(10)","180.07kcal","느타리버섯볶음(05)(06)","38.59kcal","","","2311.42kcal"
"2021-09-29","비엔나소시지야채볶음(10)(12)","326.72kcal","계란말이(01)(12)","84.73kcal","햄버그스테이크","0kcal","","","2311.42kcal"
"2021-09-29","맛김","0kcal","갓김치","11.52kcal","배추김치(7~9월)","11.75kcal","","","2311.42kcal"
"2021-09-29","배추김치(7~9월)","11.75kcal","","","","","","","2311.42kcal"
"2021-09-29","사인머스켓","67.5kcal","","","","","","","2311.42kcal"
"2021-09-29","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2311.42kcal"
"2021-09-30","밥","363kcal","수수밥","364.15kcal","잡채볶음밥","727.63kcal","","","2336.10kcal"
"2021-09-30","감자국(05)","32.35kcal","호박된장찌개(05)(06)","49.6kcal","쇠고기무국(05)(16)","38.48kcal","","","2336.10kcal"
"2021-09-30","돼지고기부추볶음(10)","293.29kcal","닭간장소스찜(05)(06)(15)","151.21kcal","오징어채볶음(01)(05)(06)(17)","112.06kcal","","","2336.10kcal"
"2021-09-30","양파겉절이(05)(06)","22.26kcal","무콩나물무침(05)","25.05kcal","배추김치(7~9월)","11.75kcal","","","2336.10kcal"
"2021-09-30","배추김치(7~9월)","11.75kcal","갓김치","11.52kcal","","","","","2336.10kcal"
"2021-09-30","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2336.10kcal"
"2021-09-10","아이스크림 팩형(02)","234kcal","","","","","","","3341.71kcal"
"2021-09-10","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3341.71kcal"
"2021-09-11","밥","363kcal","밥","363kcal","제육덮밥(05)(06)(10)","701.88kcal","","","2775.35kcal"
"2021-09-11","닭고기미역국(05)(15)","31.7kcal","순두부백탕(05)(17)","72.91kcal","고구마구이","439.52kcal","","","2775.35kcal"
"2021-09-11","새송이버섯야채볶음(05)(06)","65.21kcal","양파계란볶음(01)(10)","102.35kcal","부추겉절이","26.08kcal","","","2775.35kcal"
"2021-09-11","두부구이(05)(06)","158.82kcal","오징어볶음(05)(06)(17)","205.89kcal","백김치","15.12kcal","","","2775.35kcal"
"2021-09-11","배추김치(7~9월)","11.75kcal","백김치","15.12kcal","주스,복숭아(190ml/팩)","81kcal","","","2775.35kcal"
"2021-09-11","","","","","우유(백색우유(200ML,연간))(02)","122kcal","","","2775.35kcal"
"2021-09-12","밥","363kcal","밥","363kcal","밥","363kcal","","","2268.56kcal"
"2021-09-12","황태채국(01)(05)","50.57kcal","근대된장국(05)(06)","28.31kcal","배추된장국(05)","38.91kcal","","","2268.56kcal"
"2021-09-12","마파감자(05)(06)(10)","175.61kcal","닭간장소스찜(05)(06)(15)","151.21kcal","돼지불고기(05)(06)(10)","436.16kcal","","","2268.56kcal"
"2021-09-12","오이무침(06)","36.91kcal","실곤약야채무침(05)","22.25kcal","호박볶음(05)(06)(09)","55.33kcal","","","2268.56kcal"
"2021-09-12","배추김치(7~9월)","11.75kcal","배추김치(7~9월)","11.75kcal","열무김치","12.8kcal","","","2268.56kcal"
"2021-09-12","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2268.56kcal"
"2021-09-12","망고 주스(180㎖/캔)","26kcal","","","","","","","2268.56kcal"
"2021-09-13","밥","363kcal","잡채밥(05)(06)(10)","521.62kcal","수수밥","364.15kcal","","","2684.97kcal"
"2021-09-13","쇠고기무국(05)(16)","38.48kcal","미소장국(05)","14.89kcal","건새우아욱된장국(05)","35.27kcal","","","2684.97kcal"
"2021-09-13","비엔나소시지야채볶음(10)(12)","326.72kcal","가지볶음(05)(06)","42.66kcal","돈가스(06)(10)","645.1kcal","","","2684.97kcal"
"2021-09-13","멸치고추장볶음(06)","86.8kcal","열무김치","12.8kcal","양배추샐러드(01)(12)","43.98kcal","","","2684.97kcal"
"2021-09-13","배추김치(7~9월)","11.75kcal","","","배추김치(7~9월)","11.75kcal","","","2684.97kcal"
"2021-09-13","","","","","감귤 주스(340㎖/ 페트)","44kcal","","","2684.97kcal"
"2021-09-13","","","","","우유(백색우유(200ML,연간))(02)","122kcal","","","2684.97kcal"
"2021-09-14","밥","363kcal","밥","363kcal","잡곡밥","408.15kcal","","","2953.92kcal"
"2021-09-14","생선묵국(05)(06)","73.12kcal","꼬리곰탕(05)(09)","581.96kcal","쇠고기육개장(01)(05)(06)(16)","108.65kcal","","","2953.92kcal"
"2021-09-14","닭순살야채조림(05)(06)(15)","126.35kcal","오이스틱(05)(06)","28.8kcal","갈치순살튀김(06)","601.78kcal","","","2953.92kcal"
"2021-09-14","무부추무침","25.93kcal","오징어젓무침(17)","45.9kcal","상추샐러드","6.58kcal","","","2953.92kcal"
"2021-09-14","배추김치(7~9월)","11.75kcal","깍두기(완제품)(09)","15.2kcal","배추김치(7~9월)","11.75kcal","","","2953.92kcal"
"2021-09-14","진라면매운맛,110g용기라면(다수공급자계약,영내자증식,오뚜기)","","","","","","","","2953.92kcal"
"2021-09-14","주스,카프리썬 오렌지(200ml,파우치)","60kcal","","","","","","","2953.92kcal"
"2021-09-14","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2953.92kcal"
"2021-09-15","밥","363kcal","밥","363kcal","밥","363kcal","","","3017.78kcal"
